Fly!	Voe!
Tom is in the swimming pool.	Tom está na piscina.
He was proud of his brother.	Ele ficou orgulhoso do irmão.
On my way home, I met him.	Quando voltava para casa, eu me encontrei com ele.
The cranberry is one of the few fruits that's native to North America.	O arando é uma das poucas frutas que é nativa da América do Norte.
She didn't like the horse at first.	Ela não gostava do cavalo de início.
What's your favorite Chinese food?	Qual é a sua comida chinesa favorita?
We knew you'd come.	Sabíamos que vocês viriam.
Do you want us to buy you anything?	Você quer que nós compremos algo para você?
What's his name again?	Qual é mesmo o nome dele?
I'm certain that he'll come.	Estou certo de que ele virá.
Are you single?	Você é solteira?
Sami gave a donation to the orphanage.	Sami fez uma doação ao orfanato.
We have to gather information.	Temos que levantar informações.
Atlantis is real.	A Atlântida é real.
I chose to give my speech in French.	Eu escolhi fazer meu discurso em Francês.
That's fun.	Isso é divertido!
That text is open-minded.	Esse texto é compreensivo.
It will be difficult to sweep the room with the fan on!	Vai ser difícil varrer o quarto com o ventilador ligado!
They're going to get themselves killed.	Eles vão se matar.
Did you really forget your passport at home?	Você realmente esqueceu seu passaporte em casa?
I like them both.	Eu gosto de ambos.
What did Tom bring with him?	O que o Tom trouxe com ele?
I want you to write me a letter.	Quero que você me escreva uma carta.
Don't forget to pick the kids up after school.	Não esqueça de buscar as crianças depois da escola.
It really was a miracle.	Foi realmente um milagre.
Tom and Mary weren't wearing their school uniforms.	Tom e Mary não estavam usando seus uniformes escolares.
Correct the following sentences.	Corrija as seguintes frases.
Tom told me that he'd like to become a doctor.	Tom me contou que ele gostaria de ser um médico.
I don't want you to lie to me.	Eu não quero que você minta para mim.
This happened at three o'clock in the morning.	Isso aconteceu às três horas da madrugada.
We both know it's too late.	Ambos sabemos que é tarde demais.
The doctor told me to quite smoking.	O doutor me falou para parar de fumar.
I guess I'm a little nervous.	Eu acho que estou um pouco nervoso.
I don't think anyone noticed what you did.	Acho que ninguém notou o que você fez.
When was the last time you and I saw each other?	Quando foi a última vez que você e eu nos vimos?
On the one hand, you are wrong, but on the other hand, I can't blame you for that.	Por um lado, você está errado, mas por outro, não posso culpá-lo por isso.
At the end of the year, Tom sends holiday cards to his relatives.	No final do ano Tom envia cartões de cumprimentos para seus parentes.
Tomorrow is Mother's Day in Brazil.	Amanhã é Dia das Mães no Brasil.
How can we prove it?	Como podemos provar isso?
You're just a boy.	Você é apenas um garoto.
He is as good as dead.	Ele está quase morto.
I shouldn't have sold my house.	Eu não deveria ter vendido minha casa.
