I'm saying no.	Estou dizendo que não.
I hope that you don't make me wait.	Eu espero que você não me faça esperar.
His son is eight years old.	Seu filho tem oito anos.
I'm a little tired.	Estou um pouco cansado.
Both Tom and I have black hair.	Tanto Tom quanto eu temos cabelo preto.
I didn't know you were there.	Eu não sabia que você estava aí.
Where did you send Tom?	Aonde você mandou o Tom?
Are you sure about this, Tom?	Você tem certeza disso, Tom?
Your birthday is coming.	O teu aniversário está chegando.
Tom enjoys gardening.	Tom gosta de jardinagem.
We're right.	Nós estamos certos.
Do not touch the console or connected accessories during an electrical storm.	Não toque o console nem os acessórios conectados durante uma tempestade elétrica.
Tom didn't seem to hear what Mary said.	Tom parecia não ouvir o que Mary disse.
The most magnificent and most admirable is the simplest.	O mais magnífico e mais admirável é o mais simples.
I just saw it for myself.	Eu acabei de ver por conta própria.
She has special powers.	Ela tem poderes especiais.
I always stay with Tom when I visit Boston.	Sempre fico com Tom quando visito Boston.
What're you after?	O que você está procurando?
Hang the painting.	Pendure o quadro.
I'm not fussy.	Eu não sou exigente.
Let's get away from here.	Vamos sair daqui.
I dreamed about Tom.	Eu sonhei com Tom.
He takes the subway to work.	Ele pega o metrô para trabalhar.
Who is this brat?	Quem é esse moleque?
Tom said he'd do what he could for Mary.	Tom disse que faria o que pudesse pela Mary.
I bought forty dollars' worth of gasoline today.	Eu comprei quarenta dólares de gasolina hoje.
Now go home.	Agora vá para casa.
Give him rigid training.	Dê a ele um treinamento rígido.
He has been studying French for eight years.	Eles está aprendendo francês por oito anos.
He showed exceptional ability in mathematics.	Ele demonstrava uma habilidade excepcional para a matemática.
I don't think that's a good idea.	Eu não acho que é uma boa ideia.
Tom always wants to do things his own way.	O Tom sempre quer fazer as coisas do jeito dele.
Even Tom could tell Mary was jealous.	Até Tom podia dizer que Mary estava com ciúmes.
Tom bought a camera for me.	O Tom comprou uma câmera para mim.
I'd like to take advantage of this opportunity.	Gostaria de aproveitar esta oportunidade.
Tom is driving me crazy.	O Tom está me fazendo pirar.
You can understand me.	Vocês podem me entender.
He was appointed chairman.	Ele foi nomeado presidente.
Tom loves going out.	O Tom adora sair.
Do you swim with your children?	Tu nadas com teus filhos?
Tom is going to be angry.	Tom vai ficar zangado.
Tom has to come tomorrow.	Tom precisa vir amanhã.
Sorry for bothering you at this busy time.	Desculpe por te incomodar nesta hora de pico.
He has a fear of the knife.	Ele tem medo de faca.
She belongs to the new generation of rock.	Ela pertence à nova geração do rock.
I'm very sad to hear that.	Estou muito triste por ouvir isso.
I hope you like Tom.	Espero que goste de Tom.
Look out!	Atenção!
Why is everyone clapping?	Por que todo mundo está aplaudindo?
Tom decided to give up trying to keep up with Mary.	Tom decidiu deixar de tentar manter o contato com Mary.
I'm sorry I couldn't help you.	Sinto muito por não ter podido te ajudar.
She answered him with cold civility.	Ela respondeu a ele com uma fria civilidade.
What are you doing Monday night?	O que você vai fazer segunda-feira à noite?
We wouldn't be in this mess if you had helped us.	Nós não estaríamos nesta bagunça se você tivesse nos ajudado.
I knew what you meant.	Eu sabia o que você queria dizer.
Just get rid of it.	Apenas se livra disso.
I'm your new roommate.	Eu sou seu novo companheiro de quarto.
Aren't you going to eat a little?	Não vai comer um pouco?
When does he play tennis?	Quando ele joga tênis?
It is already eleven.	Já são 11 horas.
Tom said he'd like to visit Boston.	Tom disse que ele gostaria de visitar Boston.
A policeman was watching it, with his arms crossed.	Um policial assistia a ele com os braços cruzados.
Maybe I'm the asshole.	Talvez seja eu o babaca.
What should Tom have done?	O que Tom deveria ter feito?
The plan has failed.	O plano falhou.
Tell me a joke.	Me conta uma piada.
I know what we can do.	Eu sei o que podemos fazer.
Tom wanted to win.	Tom queria vencer.
I'm at my parents' place.	Estou na casa dos meus pais.
I can't blame you. It was my fault.	Não posso culpá-lo. Foi minha culpa.
"In the name of the Brazilian president, Luiz Inacio Lula de Silva, Claudio Soarez Rocha expressed admiration for the continuing effort which Esperanto-speaking people throughout the world are always making, for the greater spread of Esperanto. He wrote, amongst other things,""We know that in the history of mankind, there have been languages that have become intrusive as a result of political power, such as Latin, or to a certain extent French and lately, English. We very much wish, in fact, that one day Esperanto could be accepted by the majority of the nations, as a language adopted to facilitate communication without linguistic privileges."""	"Em nome do Presidente Lula, Cláudio Soares Rocha expressou admiração pelos esforços que os esperantistas do mundo inteiro dedicam à difusão cada vez maior do esperanto. Ele escreveu ainda: ""Sabemos que, na história da Humanidade, línguas impuseram-se em conseqüência da hegemonia política, como o latim, o francês – em certa medida – e posteriormente o inglês. Ansiamos para que, de fato, algum dia, o esperanto possa ser aceito pela maioria das nações como língua adotada para facilitar a comunicação sem privilégios linguísticos."""
That isn't Tom.	Esse não é Tom.
