Did Tom know Mary?	O Tom conhecia a Mary?
In addition to her endeavors on the track, the American high jumper is studying toward a degree in medicine and does some modeling on the side.	Para além das suas conquistas na pista, a atleta americana do salto em altura está a estudar Medicina e faz ocasionalmente trabalhos de modelo.
We've got to warn Tom about that.	Temos de avisar o Tom disso.
My sister washes her shoes every Sunday.	A minha irmã lava os sapatos todos os domingos.
I wish you would reconsider.	Gostava que reconsiderasses.
He started crying right after hearing the news.	Ele começou a chorar logo depois de ouvir a notícia.
Tom never listens to anyone.	O Tom nunca ouve ninguém.
Don't forget to answer his letter.	Não te esqueças de responder à carta dele.
I used to smoke.	Eu fumava.
How far is the next farm?	A que distância fica a próxima quinta?
I have a bad pain here.	Estou com uma dor forte aqui.
That's the stupidest thing I've ever said.	Esta foi a coisa mais estúpida que eu já disse.
Tom was in his top form.	O Tom estava na melhor forma.
This is the best restaurant that I know.	Este é o melhor restaurante que conheço.
He knows everything.	Ele sabe tudo.
Australia is on my list of countries that I'd like to visit.	A Austrália está na minha lista de países que gostaria de visitar.
Tom may come here.	O Tom pode vir cá.
We've arrived pretty quickly, haven't we?	Chegámos bem depressa, não foi?
Carlos Queiroz was fired by the Portuguese Football Federation.	Carlos Queiroz foi demitido pela Federação Portuguesa de Futebol.
What do you want to do after lunch?	O que é que queres fazer depois do almoço?
We'll rebuild.	Reconstruiremos.
The last thing I want to do is waste time.	A última coisa que quero fazer é perder tempo.
Fadil became the fifth man to divorce Layla.	O Fadil tornou-se o quinto homem a divorciar-se da Layla.
With fears of the coronavirus pandemic sweeping the U.S., Democratic presidential candidates Joe Biden and Bernie Sanders are staging virtual rallies Monday, a day ahead of presidential nominating primary elections in four states that Biden is expected to win handily.	Com o receio da pandemia de coronavírus a alastrar pelos EUA, os candidatos democratas à presidência, Joe Biden e Bernie Sanders, realizam comícios virtuais na segunda-feira, um dia antes das primárias em quatro estados onde se prevê que Biden vença confortavelmente.
I'd like to earn more money.	Gostaria de ganhar mais dinheiro.
It probably would be cheaper somewhere else.	Provavelmente seria mais barato noutro sítio.
Jack doesn't have enough money to buy himself a new bicycle.	O Jack não tem dinheiro suficiente para comprar uma bicicleta nova.
Tom couldn't decide where to plant the tree.	O Tom não conseguiu decidir onde plantar a árvore.
I have great friends.	Tenho grandes amigos.
I could never do that.	Nunca poderia fazer isso.
Welcome to Boston, Tom.	Bem-vindo a Boston, Tom.
This is not the time or the place.	Não é a hora nem o lugar.
Tom played the violin.	O Tom tocava violino.
Is this your interesting book?	Este é teu livro interessante?
What do you think I've been doing?	O que é que achas que eu tenho estado a fazer?
Tom never was very interested.	O Tom nunca se interessou muito.
Doing that won't accomplish anything.	Fazer isso não servirá de nada.
Great Britain has two military bases in Cyprus.	A Grã-Bretanha tem duas bases militares em Chipre.
Tom is sitting by the window.	O Tom está sentado à janela.
I will try to be on time.	Vou tentar ser pontual.
Who turned off the light?	Quem apagou a luz?
Do not throw or drop the console or accessories, or expose them to strong physical shock.	Não atires nem deixes cair a consola ou os acessórios, nem os submetas a fortes impactos.
After the rain, the sun emerged from the clouds.	Depois da chuva, o sol emergiu das nuvens.
Smiling makes me happy.	Sorrir deixa-me feliz.
Tom stopped using Facebook.	O Tom deixou de usar o Facebook.
Loving to work is the key to happiness.	Amar o trabalho é a chave da felicidade.
I know everything.	Eu sei tudo.
You don't have to hide anything from me.	Não tens de esconder nada de mim.
You've been keeping something from me.	O senhor tem-andado a ocultar-me qualquer coisa.
Fadil's plan was his downfall.	O plano do Fadil foi a sua ruína.
I should've eaten more.	Devia ter comido mais.
Please do your best.	Faz o teu melhor, por favor.
I would be willing to help you.	Eu estaria disposto a ajudar-te.
They asked Tom to do a job, but he played the fool and pretended he didn't hear it.	Pediram ao Tom para fazer um trabalho, mas ele fez-se de desentendido.
Tom already went home, but Mary is still here.	O Tom já foi para casa, mas a Mary ainda está aqui.
I can't tell you why Tom is late.	Não te posso dizer porque é que o Tom está atrasado.
Dan's message was insulting.	A mensagem do Dan era ofensiva.
I'll be with Tom all morning.	Estarei com o Tom a manhã toda.
What time will Tom arrive in Boston?	A que horas chegará o Tom a Boston?
How long is this visa good for?	Durante quanto tempo é válido este visto?
The boy who lives next door helped me paint the fence.	O rapaz que mora na casa ao lado ajudou-me a pintar a vedação.
If X means Y, what does Z mean?	Se X significa Y, o que Z significa?
Tom needs to find Mary.	O Tom tem de encontrar a Mary.
Judo is not only good for young people's health but also very useful in forming their personalities.	O judo não é apenas bom para a saúde dos jovens; é também muito útil na formação da sua personalidade.
Tom has Monday off.	O Tom tem a segunda-feira livre.
The clouds are gray.	As nuvens estão cinzentas.
You are not to blame for anything.	Não tens culpa de nada.
I decided. I'm going to ask him out tonight.	Já decidi. Vou convidá-lo para sair esta noite.
I abhor violence.	Abomino a violência.
There are many things that time does not heal.	Há muitas coisas que o tempo não cura.
Tom called my name.	O Tom chamou o meu nome.
Tom is a great guitarist.	O Tom é um ótimo guitarrista.
Nobody likes to work with Tom.	Ninguém gosta de trabalhar com o Tom.
How amazing!	Que incrível!
Tom hasn't been seen since October.	O Tom não foi visto desde outubro.
The revolution is over.	A revolução acabou.
Hundreds of people were waiting outside the ticket office.	Centenas de pessoas estavam à espera do lado de fora da bilheteria.
I can't afford to buy such an expensive car.	Não tenho condições para comprar um carro tão caro.
Tom got back to Boston yesterday evening.	O Tom regressou a Boston ontem à noite.
That man is dead.	Aquele homem está morto.
