Have you seen Tom's new tattoo?	Viste a nova tatuagem do Tom?
Tom swims.	O Tom nada.
Tom helped me buy my first car.	O Tom ajudou-me a comprar o meu primeiro carro.
Praying for Tom is all we can do.	Orar pelo Tom é tudo o que podemos fazer.
Tom has never played tennis with Mary.	O Tom nunca jogou ténis com a Mary.
The old man, in a voice that seldom rose above the howling of the wind upon the barren waste, was singing them a Christmas song.	O velho, com uma voz que raramente se elevava acima do uivar do vento sobre a terra árida, cantava-lhes uma canção de Natal.
I didn't hear the doorbell.	Não ouvi a campainha.
Tom tried to catch his breath.	O Tom tentou recuperar o fôlego.
If anyone calls, tell them I'm not here.	Se alguém ligar, diz que não estou aqui.
"What is the meaning of a dog's life?"	Qual é o significado de «vida de cão»?
I don't know anything about ballet.	Não sei nada de ballet.
Men first visited the moon in 1969.	O ser humano pisou a Lua pela primeira vez em 1969.
I'm planning on going to Tom's party tonight.	Planeio ir à festa do Tom hoje à noite.
Miss, these roses have been delivered to you.	Senhora, estas rosas foram entregues para si.
It was Tom's turn.	Era a vez do Tom.
My father takes a walk every day.	O meu pai faz uma caminhada todos os dias.
You'd better open up the curtains.	Mais vale abrires as cortinas.
I admire your ambition.	Admiro a tua ambição.
Tom had a fight with Mary.	O Tom discutiu com a Mary.
The meeting ended earlier than usual.	A reunião terminou mais cedo do que de costume.
He is an ace pitcher.	Ele é um arremessador de topo.
Antimicrobial resistance is growing because of the widespread abuse and misuse of antibiotics.	A resistência antimicrobiana está a aumentar devido ao abuso e mau uso generalizado de antibióticos.
I'm the owner of the house.	Eu sou a proprietária da casa.
Don't come in my room.	Não entres no meu quarto.
I still have a suitcase to unpack.	Ainda tenho uma mala para desempacotar.
Three more chairs will be enough.	Mais três cadeiras serão suficientes.
Tom thought Mary was dead.	O Tom achava que a Mary estava morta.
Tom has a reef aquarium.	O Tom tem um aquário de corais.
What can I do without my friends?	O que é que posso fazer sem os meus amigos?
An internship is a way for many students to explore different careers and gain valuable skills during their education.	Um estágio é a forma de muitos estudantes explorarem diferentes carreiras e adquirirem competências valiosas durante a sua formação.
Don't come in! I'm naked.	Não entres! Estou nu.
In general, English taxis are black.	Em geral, os táxis ingleses são pretos.
Tom is too old for Mary.	O Tom é demasiado velho para a Mary.
You referred to my father.	Tu referiste-te ao meu pai.
Your handshake is too tight.	O teu aperto de mão é demasiado forte.
I asked Tom to open the windows.	Pedi a Tom para abrir as janelas.
The stout man leaped over the shallow ditch and stumbled.	O homem corpulento saltou a valeta rasa e tropeçou.
Tom told me that he'd be here early today.	O Tom disse-me que viria cedo hoje.
After silence, that which comes nearest to expressing the inexpressible is music.	Depois do silêncio, aquilo que mais se aproxima de exprimir o inexprimível é a música.
One October morning in 1987, Stephen Hawking sat before his computer.	Numa manhã de outubro de 1987, Stephen Hawking sentou-se à frente do seu computador.
I have no wish to see the man again.	Não tenho vontade de voltar a ver esse homem.
Could you give me your name and phone number?	Pode dar-me o seu nome e número de telefone?
We studied French for three years.	Nós estudamos Francês três anos.
Speak now, or forever be silent.	Fala agora ou cala-te para sempre.
Does it have to be tonight?	Tem de ser esta noite?
I think you should lie down. You look like you're about to faint.	Acho que devias deitar-te. Pareces que vais desmaiar.
Fearing “deadly consequences,” human rights groups in the Philippines have expressed dismay after the Supreme Court upheld most provisions of the anti-terror law, which they say is detrimental to the country's democracy as it threatens human rights.	Temendo “consequências mortais,” grupos de direitos humanos nas Filipinas manifestaram desânimo depois de o Supremo Tribunal manter a maioria das disposições da lei antiterrorista, que, afirmam, prejudica a democracia ao ameaçar os direitos humanos.
Winter has gone. Spring has come.	O inverno passou; chegou a primavera.
Tom has a brother and a sister. His brother lives in Boston and his sister lives in Chicago.	O Tom tem um irmão e uma irmã. O irmão mora em Boston e a irmã mora em Chicago.
The fish is an Atlantic salmon that contains genes from two other kinds of fish: ocean pout and Chinook salmon.	O peixe é um salmão-do-Atlântico que contém genes de duas outras espécies: o peixe-carneiro-do-Atlântico e o salmão-rei.
Tom is in a book club.	O Tom faz parte de um clube de leitura.
How big is Tom's house?	Qual é o tamanho da casa do Tom?
Does their opinion matter?	A opinião deles importa?
Tom doesn't have enough money.	O Tom não tem dinheiro suficiente.
I'm going to go make dinner.	Vou preparar o jantar.
What's that stain?	Que mancha é aquela?
