I can't believe you like that restaurant.	Não acredito que você gosta desse restaurante.
What do you guys think about technology?	O que vocês pensam sobre a tecnologia?
Why do you buy this all the while knowing you'll never use it?	Por que você compra isto mesmo sabendo que não vai usar?
I used to be a French teacher.	Eu era professora de francês.
I'd rather not try.	Prefiro não tentar.
She likes to show off.	Ela gosta de se mostrar.
Yesterday, there was a terrible accident on the highway.	Ontem aconteceu um acidente horrível na rodovia.
I wanted Tom to stay in Boston with me.	Queria que Tom ficasse comigo em Boston.
He will come soon.	Ele vem logo.
Learning English requires patience.	Aprender inglês requer paciência.
I don't sleep a lot.	Eu não durmo muito.
Tell Tom that I was just joking.	Diga a Tom que eu só estava brincando.
Does Tom think that's all he needs to do?	Tom acha que isso é tudo o que ele precisa fazer?
It is good to see you.	É bom ver você.
Anyone can participate.	Qualquer pessoa pode participar.
Tom apparently didn't do what we asked him to do.	O Tom aparentemente não fez o que pedimos para ele fazer.
I'm going to talk to Tom when he comes home.	Eu vou falar com o Tom quando ele chegar em casa.
How long have you known each other?	Há quanto tempo vocês se conhecem?
Tom's French has gotten better.	O francês de Tom melhorou.
I will pick you up around six.	Vou buscar-te por volta das seis horas.
You're coming today, right?	Você vem hoje, não é?
Tom was really happy.	Tom estava muito feliz.
Fadil got into Layla's house.	Fadil entrou na casa de Layla.
Was everyone listening?	Todos estavam ouvindo?
I hope that the weather stays this way.	Espero que o tempo continue assim.
I think English is really useful as a tool in the globalised world.	Eu acho que inglês é realmente útil como ferramenta no mundo globalizado.
He gave me a cold.	Ele me passou um resfriado.
Tom used to read a lot.	Tom costumava ler bastante.
Are you students?	Vocês são estudantes?
It really works.	Funciona mesmo.
I have one.	Eu tenho um.
Let's do this together.	Vamos fazer isso juntos.
Tom wasn't prepared to do that.	Tom não estava preparado para fazer isso.
The quake struck at 03:36 local time, 100 kilometers northeast of Rome, originating a mere 10 kilometers deep. Some buildings in the capital shook for 20 seconds.	O tremor aconteceu às 03:36, hora local, 100 quilômetros a nordeste de Roma, originando-se a apenas 10 quilômetros de profundidade. Alguns edifícios da capital tremeram durante 20 segundos.
When did you buy this bicycle?	Quando você comprou esta bicicleta?
Everywhere you look you can see damage caused by the earthquake.	Para onde quer que olhe, você pode ver os destroços causados pelo terremoto.
Tom is waiting for us in his office.	Tom está esperando a gente no escritório dele.
I met Mattias in Spain.	Eu conheci o Mattias na Espanha.
I'm going to be late for the bus.	Eu vou me atrasar para o ônibus.
Firstly, I would like to express my gratitude to my supervisor, Dr. Juan Pisto, for his patience, effort and dedication.	Primeiramente, gostaria de expressar minha gratidão ao meu supervisor, Dr. Juan Pisto, por sua paciência, esforço e dedicação.
Quality trumps quantity.	Qualidade é mais importante que quantidade.
You wouldn't believe me.	Você não vai acreditar em mim.
Tom and Mary come from Australia.	Tom e Mary são da Austrália.
I am still working as a lawyer.	Ainda estou trabalhando como advogado.
Misery loves company.	A miséria adora companhia.
Tom took a taxi to the hospital.	Tom pegou um táxi para o hospital.
Tom has signed a new contract.	Tom assinou um contrato novo.
When and where did you two meet?	Quando e onde vocês dois se conheceram?
Australia has a diverse flora and fauna.	A Austrália possui uma flora e uma fauna diversas.
Don't forget your passport.	Não esqueça o seu passaporte.
Do you still play tennis?	Você ainda joga tênis?
We still have some unfinished business.	Nós ainda temos alguns negócios inacabados.
I still read every day.	Eu ainda leio todos os dias.
This song reminds me of someone.	Essa música me lembra alguém.
The same kind of thing happens in Australia.	O mesmo tipo de coisa acontece na Austrália.
As body, mind or soul, you are a dream; you really are Being, Consciousness, Bliss (satchidananda). You are the God of this universe.	Enquanto corpo, mente ou alma, tu és um sonho; tu és, verdadeiramente, Ser, Consciência, Felicidade (Satchidananda). Tu és o Deus deste universo.
Keep it simple, Tom.	Não complique, Tom.
Who teaches you French?	Quem o ensina francês?
When somebody praises you, remember to be your own judge; do not trust what others (think) of you more than what you (think) of yourself.	Quando alguém te elogia, lembre-se de ser o seu próprio juiz; não confie mais no que os outros pensam de você do que como você pensa de si mesmo.
People change.	As pessoas mudam.
I'll fix your wagon.	Consertarei sua carroça.
Tom doesn't eat Italian food very often.	Tom não come comida italiana com muita frequência.
The young couple surveyed the room.	O jovem casal inspecionou o quarto.
Tom told me he wanted a dog.	Tom me disse que ele queria um cachorro.
This one's yours.	Este é o seu.
They navigated sizzling sands in the Middle East, stepped into toxic muck in Bhopal, and precariously maneuvered icy sidewalks in Seoul.	Eles percorreram areias abrasadoras no Médio Oriente, pisaram em lodo tóxico em Bopal e manobraram precariamente nas calçadas congeladas de Seul.
Tom is fairly pretentious.	Tom é bem presunçoso.
No, I'm just looking.	Não, estou só olhando.
Have you already finished?	Vocês já terminaram?
Can we sit in the back?	Podemos sentar atrás?
What Tom predicted would happen has happened.	O que Tom previu que aconteceria aconteceu.
Be alert when you cross a busy street!	Fiquem atentas quando atravessarem uma rua movimentada!
Is Tom still living on Park Street?	O Tom ainda está morando na Park Street?
It is advisable for him to go.	É aconselhável ele ir.
I swore at Tom.	Eu jurei ao Tom.
We can't just ignore that.	Nós não podemos simplesmente ignorar isso.
I'll go home at ten.	Irei para casa às dez.
How did that get in there?	Como isso foi parar lá?
You look a little like Tom.	Você se parece um pouco com o Tom.
Tom doubts that Mary loves you.	Tom duvida que Maria ama você.
Tom and I can both speak French.	Tom e eu podemos falar francês.
This is the theater where we see foreign movies.	Esse é o teatro onde vemos filmes estrangeiros.
It's enormous!	É enorme!
What have I missed now?	O que eu perdi?
I'm sick of this.	Estou farta disso.
Where should we have dinner this evening?	Onde devemos jantar esta noite?
Tom poured water into the basin.	Tom derramou água na pia.
There are strong responsibilities for translating and interpreting.	São grandes as responsabilidades de traduzir e ser intérprete.
I've paid my dues.	Eu paguei minhas dívidas.
I'm glad that Tom and Mary are both on our team.	Estou feliz que Tom e Mary estejam em nossa equipe.
"""You do know that drinking that can cause you an abortion?"" ""Son, men don't have abortions."""	"""Você sabia que beber isso pode lhe provocar um aborto?"", ""Filho, homens não têm abortos."""
I sent a letter to my parents.	Enviei uma letra aos meus pais.
Tom isn't an actor.	Tom não é ator.
Tom and I almost always eat together.	Tom e eu comemos juntos quase sempre.
I'll go.	Eu vou!
Tom looked calm.	O Tom parecia calmo.
What he said was that he was satisfied.	O que ele disse é que estava satisfeito.
What was she worried about in particular?	Com o que ela estava preocupada em particular?
When the judge speaks, everyone in the courtroom listens.	Quando o juiz fala, todos no tribunal ouvem.
I chose to give my speech in French.	Eu escolhi fazer meu discurso em Francês.
It has been more than two years since he left home and so far has not returned.	Faz mais de dois anos que ele saiu de casa e até agora não retornou.
Tom is all dressed up.	Tom está todo arrumado.
Tom says he heard Mary yawning.	Tom diz que ouviu Mary bocejar.
I heard Tom partied all night.	Eu ouvi Tom festejando a noite toda.
He was giving a speech at the park.	Ele estava fazendo um discurso no parque.
She laughed till she cried.	Ela riu até seus olhos se encherem de lágrimas.
I want to eat it.	Eu quero comer isso.
He sent her a message.	Ele enviou uma mensagem para ela.
I have lost my cap.	Perdi meu boné.
Do you think Tom is still at home?	Você acha que Tom ainda está em casa?
When is your wedding?	Quando é o casamento de vocês?
Glass is breakable.	O vidro é quebradiço.
I don't know where you are going.	Não sei para onde vocês estão indo.
Do you think this is worth something?	Vocês acham que isso vale alguma coisa?
I don't know where he went.	Não sei aonde ele foi.
It was fascinating.	Foi fascinante.
You're shivering.	Você está tremendo.
Where is the orphanage?	Onde fica o orfanato?
Do you remember who I am?	Lembras-te de quem sou eu?
A large crowd attended.	Uma grande multidão compareceu.
Tom gave me a French dictionary.	Tom me deu um dicionário de francês.
I sincerely hope that you're vegan.	Eu sinceramente espero que você seja vegano.
I majored in art.	Eu me formei em artes.
I ate three hot dogs.	Eu comi três cachorros quentes.
You know the way.	Você sabe o caminho.
The ocean is really big.	O oceano é imenso.
I am exactly thinking about this problem.	Eu estou exatamente pensando neste problema.
Please buy this for me.	Compre isso para mim, por favor.
I wonder if I am made for this world.	Será que eu fui feito para este mundo?
Your lips are blue. You should get out of the water.	Seus lábios já estão ficando roxos. Você deve sair da água.
We are going to the fair; are you coming?	Vamos à feira; você está vindo?
Tom will respond.	Tom vai responder.
I hear that you married a rich man.	Ouvi dizer que você se casou com um homem rico.
You'll regret that!	Você vai se arrepender disso!
Is there anything else we need to do before we go?	Há mais alguma coisa que nós precisamos fazer antes de irmos?
What were you doing to him?	O que vocês estavam fazendo com ele?
You have to be quick.	Você tem de ser rápida.
Can I talk to you guys for a second?	Posso falar com vocês um segundo?
Is Tom available?	Tom está disponível?
In spring, the days get longer.	Na primavera, os dias ficam maiores.
Tom will decide.	Tom decidirá.
He works in order to forget.	Ele trabalha para esquecer.
Can someone help me?	Alguém pode me ajudar?
Let's get away from here.	Vamos sair daqui.
Sami was very confused.	Sami estava muito confuso.
Tom buttoned up his coat.	Tom abotoou o casaco dele.
Your English has improved a lot.	O seu inglês melhorou muito.
We have no school tomorrow.	Não temos aula amanhã.
That's not what you want to do.	Não é isso que você quer fazer.
I don't know where Tom keeps his umbrella.	Não sei onde Tom guarda o guarda-chuva dele.
Everyone dreams.	Todos sonham.
Tell them we're coming.	Diga que nós estamos vindo.
It happened right here.	Aconteceu bem aqui.
I won't go there anymore.	Não irei mais lá.
